Sub-network 1
ALDD2y 	['b2276 h2o_c', 'b2276 nadp_c', 'b2276 acald_c'] 	['b2276 ac_c', 'b2276 nadph_c', 'b2276 h_c']
NTD7 	['b3708 amp_c', 'b3708 h2o_c'] 	['b3708 adn_c', 'b3708 pi_c']
ACtex 	['b3708 ac_e'] 	['b3708 ac_p']
ACS 	['b3708 atp_c', 'b3708 coa_c', 'b3708 ac_c'] 	['b3708 accoa_c', 'b3708 amp_c', 'b3708 ppi_c']
ACt2rpp 	['b3708 h_p', 'b3708 ac_p'] 	['b3708 ac_c', 'b3708 h_c']
ACt2rpp 	['b2276 ac_c', 'b2276 h_c'] 	['b2276 ac_p', 'b2276 h_p']
Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
ACALD 	['b2276 nadh_c', 'b2276 accoa_c', 'b2276 h_c'] 	['b2276 acald_c', 'b2276 coa_c', 'b2276 nad_c']
Org_b3708 ERR34 	['ac_e'] 	['b3708 ac_e']
ADA 	['b3708 adn_c', 'b3708 h2o_c', 'b3708 h_c'] 	['b3708 ins_c', 'b3708 nh4_c']
ACtex 	['b2276 ac_p'] 	['b2276 ac_e']


Sub-network 2
NTD7 	['b3708 amp_c', 'b3708 h2o_c'] 	['b3708 adn_c', 'b3708 pi_c']
ACtex 	['b3708 ac_e'] 	['b3708 ac_p']
ACKr 	['b2276 actp_c', 'b2276 adp_c'] 	['b2276 atp_c', 'b2276 ac_c']
ACS 	['b3708 atp_c', 'b3708 coa_c', 'b3708 ac_c'] 	['b3708 accoa_c', 'b3708 amp_c', 'b3708 ppi_c']
ACt2rpp 	['b3708 h_p', 'b3708 ac_p'] 	['b3708 ac_c', 'b3708 h_c']
ACt2rpp 	['b2276 ac_c', 'b2276 h_c'] 	['b2276 ac_p', 'b2276 h_p']
Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
PTAr 	['b2276 pi_c', 'b2276 accoa_c'] 	['b2276 actp_c', 'b2276 coa_c']
Org_b3708 ERR34 	['ac_e'] 	['b3708 ac_e']
ADA 	['b3708 adn_c', 'b3708 h2o_c', 'b3708 h_c'] 	['b3708 ins_c', 'b3708 nh4_c']
ACtex 	['b2276 ac_p'] 	['b2276 ac_e']


Sub-network 3
NTD7 	['b3708 amp_c', 'b3708 h2o_c'] 	['b3708 adn_c', 'b3708 pi_c']
ACtex 	['b3708 ac_e'] 	['b3708 ac_p']
ACS 	['b3708 atp_c', 'b3708 coa_c', 'b3708 ac_c'] 	['b3708 accoa_c', 'b3708 amp_c', 'b3708 ppi_c']
ACt2rpp 	['b3708 h_p', 'b3708 ac_p'] 	['b3708 ac_c', 'b3708 h_c']
ACt2rpp 	['b2276 ac_c', 'b2276 h_c'] 	['b2276 ac_p', 'b2276 h_p']
Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
ACALD 	['b2276 nadh_c', 'b2276 accoa_c', 'b2276 h_c'] 	['b2276 acald_c', 'b2276 coa_c', 'b2276 nad_c']
ALDD2x 	['b2276 h2o_c', 'b2276 acald_c', 'b2276 nad_c'] 	['b2276 nadh_c', 'b2276 ac_c', 'b2276 h_c']
Org_b3708 ERR34 	['ac_e'] 	['b3708 ac_e']
ADA 	['b3708 adn_c', 'b3708 h2o_c', 'b3708 h_c'] 	['b3708 ins_c', 'b3708 nh4_c']
ACtex 	['b2276 ac_p'] 	['b2276 ac_e']


Sub-network 4
MALS 	['b2276 h2o_c', 'b2276 glx_c', 'b2276 accoa_c'] 	['b2276 mal_L_c', 'b2276 coa_c', 'b2276 h_c']
POX 	['b2276 h2o_c', 'b2276 q8_c', 'b2276 pyr_c'] 	['b2276 co2_c', 'b2276 ac_c', 'b2276 q8h2_c']
ACS 	['b3708 atp_c', 'b3708 coa_c', 'b3708 ac_c'] 	['b3708 accoa_c', 'b3708 amp_c', 'b3708 ppi_c']
ACt2rpp 	['b3708 h_p', 'b3708 ac_p'] 	['b3708 ac_c', 'b3708 h_c']
ACt2rpp 	['b2276 ac_c', 'b2276 h_c'] 	['b2276 ac_p', 'b2276 h_p']
NTD7 	['b3708 amp_c', 'b3708 h2o_c'] 	['b3708 adn_c', 'b3708 pi_c']
Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
