1
NMNt2m 	['iMM904 h_c', 'iMM904 nmn_c'] 	['iMM904 h_m', 'iMM904 nmn_m']
ACPSm 	['iMM904 coa_m', 'iMM904 h2o_m'] 	['iMM904 h_m', 'iMM904 pap_m', 'iMM904 pan4p_m']
CO2tm 	['iMM904 co2_c'] 	['iMM904 co2_m']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PNP 	['iMM904 h_c', 'iMM904 ncam_c', 'iMM904 r1p_c'] 	['iMM904 rnam_c', 'iMM904 pi_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
H2Otm 	['iMM904 h2o_c'] 	['iMM904 h2o_m']
HCO3Em 	['iMM904 h_m', 'iMM904 hco3_m'] 	['iMM904 co2_m', 'iMM904 h2o_m']
COAtim 	['iMM904 coa_c'] 	['iMM904 coa_m']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
NADN 	['iMM904 h2o_c', 'iMM904 nad_c'] 	['iMM904 adprib_c', 'iMM904 h_c', 'iMM904 ncam_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HCO3Em 	['iMM904 co2_m', 'iMM904 h2o_m'] 	['iMM904 h_m', 'iMM904 hco3_m']
PIt2m 	['iMM904 h_c', 'iMM904 pi_c'] 	['iMM904 h_m', 'iMM904 pi_m']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
RNMK 	['iMM904 rnam_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 nmn_c', 'iMM904 adp_c']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']


2
NMNt2m 	['iMM904 h_c', 'iMM904 nmn_c'] 	['iMM904 h_m', 'iMM904 nmn_m']
ACPSm 	['iMM904 coa_m', 'iMM904 h2o_m'] 	['iMM904 h_m', 'iMM904 pap_m', 'iMM904 pan4p_m']
CO2tm 	['iMM904 co2_c'] 	['iMM904 co2_m']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
PNP 	['iMM904 h_c', 'iMM904 ncam_c', 'iMM904 r1p_c'] 	['iMM904 rnam_c', 'iMM904 pi_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
H2Otm 	['iMM904 h2o_c'] 	['iMM904 h2o_m']
HCO3Em 	['iMM904 h_m', 'iMM904 hco3_m'] 	['iMM904 co2_m', 'iMM904 h2o_m']
COAtim 	['iMM904 coa_c'] 	['iMM904 coa_m']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
NADN 	['iMM904 h2o_c', 'iMM904 nad_c'] 	['iMM904 adprib_c', 'iMM904 h_c', 'iMM904 ncam_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
