1
DB4PS 	['Lactococcus_lactis_MG1363 ru5p_D_c'] 	['Lactococcus_lactis_MG1363 db4p_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 for_c']
ADPRDP 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 adprib_c'] 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 amp_c']
for_e 	['Lactococcus_lactis_MG1363 for_e'] 	['for_e']
GAPD 	['Lactococcus_lactis_MG1363 pi_c', 'Lactococcus_lactis_MG1363 nad_c', 'Lactococcus_lactis_MG1363 g3p_c'] 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 nadh_c']
PGK 	['Lactococcus_lactis_MG1363 13dpg_c', 'Lactococcus_lactis_MG1363 adp_c'] 	['Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 3pg_c']
PFL 	['Lactococcus_lactis_MG1363 pyr_c', 'Lactococcus_lactis_MG1363 coa_c'] 	['Lactococcus_lactis_MG1363 accoa_c', 'Lactococcus_lactis_MG1363 for_c']
ENO 	['Lactococcus_lactis_MG1363 2pg_c'] 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 pep_c']
h_e 	['Lactococcus_lactis_MG1363 h_e'] 	['h_e']
PPM 	['Lactococcus_lactis_MG1363 r5p_c'] 	['Lactococcus_lactis_MG1363 r1p_c']
NADN 	['Lactococcus_lactis_MG1363 h2o_c', 'Lactococcus_lactis_MG1363 nad_c'] 	['Lactococcus_lactis_MG1363 ncam_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 adprib_c']
RPI 	['Lactococcus_lactis_MG1363 r5p_c'] 	['Lactococcus_lactis_MG1363 ru5p_D_c']
RPE 	['Lactococcus_lactis_MG1363 ru5p_D_c'] 	['Lactococcus_lactis_MG1363 xu5p_D_c']
FORt2 	['Lactococcus_lactis_MG1363 for_e', 'Lactococcus_lactis_MG1363 h_e'] 	['Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 for_c']
PGM 	['Lactococcus_lactis_MG1363 3pg_c'] 	['Lactococcus_lactis_MG1363 2pg_c']
PC 	['Lactococcus_lactis_MG1363 pyr_c', 'Lactococcus_lactis_MG1363 atp_c', 'Lactococcus_lactis_MG1363 hco3_c'] 	['Lactococcus_lactis_MG1363 adp_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 oaa_c', 'Lactococcus_lactis_MG1363 pi_c']
PRPPS 	['Lactococcus_lactis_MG1363 r5p_c', 'Lactococcus_lactis_MG1363 atp_c'] 	['Lactococcus_lactis_MG1363 prpp_c', 'Lactococcus_lactis_MG1363 h_c', 'Lactococcus_lactis_MG1363 amp_c']
